X,Y,time,,,,
-3.7845,0.2198,7.6093899,,,,
-3.8075,0.2476,7.62139,,,,
-3.81,0.2646,7.6333897,,,,
-3.811,0.2785,7.6453897,,,,
-3.8073,0.2904,7.6573898,,,,
-3.8069,0.2939,7.6693894,,,,
-3.8031,0.296,7.6813887,,,,
-3.7903,0.2982,7.6933895,,,,
-3.7698,0.2981,7.7044129,,,,
-3.7472,0.2968,7.7173062,,,,
-3.7271,0.292,7.7293067,,,,
-3.7099,0.2851,7.7413072,,,,
-3.6929,0.2779,7.7533068,,,,
-3.6781,0.2711,7.7653067,,,,
-3.6615,0.2625,7.7763065,,,,
-3.6504,0.2563,7.7883065,,,,
-3.6367,0.25,7.8003065,,,,
-3.6223,0.2479,7.8123069,,,,
-3.612,0.241,7.8243069,,,,
-3.6,0.232,7.8363067,,,,
-3.587,0.2234,7.8483068,,,,
-3.5728,0.216,7.8603072,,,,
-3.5637,0.2061,7.8723069,,,,
