X,Y,time
0.0429,7.4638,6.5645921
0.0394,7.4607,6.5756892
0.0365,7.4565,6.5863517
0.034,7.4535,6.5970917
0.0321,7.4503,6.6086105
0.0305,7.447,6.6202833
0.0291,7.4445,6.6317833
0.0285,7.4427,6.642266
0.0272,7.4405,6.6533801
0.0258,7.4398,6.6649165
0.0237,7.4396,6.6761982
0.021,7.4421,6.6867173
0.0165,7.445,6.6985811
0.0104,7.4495,6.7090082
0.0027,7.4555,6.7205606
-0.0075,7.4631,6.7319546
-0.0184,7.4714,6.7424691
-0.0301,7.4803,6.7545056
-0.0429,7.4896,6.7656062
-0.0559,7.4997,6.7766527
-0.0687,7.5101,6.7876751
-0.0813,7.5203,6.7987428
-0.0928,7.5311,6.8098072
-0.1044,7.5417,6.8213129
-0.1157,7.5519,6.8318431
-0.1267,7.5618,6.8433692
-0.1377,7.5712,6.8546165
-0.1491,7.5794,6.8657637
-0.1601,7.5862,6.8769257
-0.1705,7.5923,6.8884511
-0.1804,7.598,6.8995706
-0.189,7.6032,6.9106669
-0.1969,7.609,6.9219266
-0.2035,7.6151,6.9325553
-0.2083,7.6222,6.9442544
-0.2124,7.6294,6.9550805
-0.2166,7.6372,6.9666003
-0.2213,7.6455,6.9776679
-0.2257,7.6544,6.9887719
-0.2299,7.6658,6.9998198
-0.2328,7.6775,7.0106731
-0.2349,7.69,7.0217077
-0.2371,7.7044,7.0329435
-0.241,7.7194,7.0444802
-0.2499,7.7345,7.05573
-0.2608,7.7493,7.067041
-0.2719,7.7654,7.0775535
-0.283,7.7811,7.0886002
-0.2924,7.796,7.100134
-0.2992,7.8097,7.1116603
-0.3035,7.8226,7.1227263
-0.3034,7.8344,7.1339564
-0.3019,7.844,7.1444885
-0.2972,7.8516,7.1565215
-0.291,7.8571,7.16733
-0.2823,7.861,7.1778551
-0.2714,7.8632,7.1895021
-0.2582,7.8644,7.2008039
-0.244,7.8635,7.2118743
-0.2277,7.8605,7.2234107
-0.2084,7.8563,7.2346028
-0.1865,7.8507,7.2447263
-0.1643,7.8444,7.2563388
-0.1403,7.8374,7.2671198
-0.1161,7.8304,7.2786487
-0.09,7.8229,7.289533
-0.0634,7.8164,7.3015605
-0.0356,7.8111,7.3125959
-0.0072,7.8069,7.3237404
0.0219,7.8042,7.3339917
0.0517,7.8033,7.34553
0.081,7.803,7.3568037
0.1105,7.8047,7.3683957
0.1384,7.8072,7.3790147
0.167,7.8119,7.3901744
0.1955,7.8176,7.4011069
0.2239,7.8243,7.4129048
0.251,7.8311,7.4234134
0.2763,7.8392,7.4348225
0.2998,7.8469,7.4462269
0.3212,7.8538,7.456917
0.3409,7.8603,7.4684388
0.359,7.866,7.4795593
0.3759,7.8706,7.4903887
0.3924,7.8742,7.5016696
0.4073,7.8764,7.5136903
0.4211,7.876,7.5244949
0.432,7.8749,7.5356962
0.4411,7.8714,7.5467427
0.4479,7.8664,7.557279
0.4535,7.8612,7.5695451
0.4589,7.8544,7.5805774
0.4647,7.8471,7.5916694
0.4702,7.8403,7.60274
0.4747,7.833,7.6138968
0.4773,7.8252,7.6244041
0.4794,7.8184,7.6356364
0.4799,7.8116,7.6468489
0.4802,7.8065,7.6586159
0.48,7.8029,7.6697131
0.4799,7.8004,7.6807721
0.4793,7.8001,7.6910458
0.4787,7.8013,7.7025721
0.4772,7.8039,7.7141143
0.4752,7.8072,7.72494
0.4717,7.8109,7.7364711
0.4668,7.816,7.7469816
